TYPE,PRICE,BEDS,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Co-op for sale,4500000,2,2184.207862,"870 5th Ave #4d, New York, NY 10065, USA",40.7699404,-73.9686033
Condo for sale,935000,1,713,"110 Livingston St #11j, Brooklyn, NY 11201, USA",40.6909831,-73.9899258
Multi-family home for sale,604200,5,2000,"1114 Blake Ave, Brooklyn, NY 11208, USA",40.6703548,-73.8767077
Co-op for sale,375000,1,2184.207862,"144 Beach 121st St #1a, Rockaway Park, NY 11694, USA",40.5770108,-73.8403983
Co-op for sale,339000,1,2184.207862,"21-58 35th St #1c, Astoria, NY 11105, USA",40.7755886,-73.9082717
House for sale,1149000,3,2184.207862,"102-04 63rd Rd, Queens, NY 11375, USA",40.7328877,-73.853874
Condo for sale,5200000,3,3400,"29 W 85th St APT 3, New York, NY 10024, USA",40.7852077,-73.9706676
Multi-family home for sale,950000,3,2500,"382 Audubon Ave, New York, NY 10033, USA",40.8507355,-73.9311387
Co-op for sale,329000,2,950,"2400 E 3rd St Apt 715, Brooklyn, NY 11223, USA",40.5911414,-73.9676771
Co-op for sale,279000,2,2184.207862,"226- 9 88th Ave, Queens, NY 11427, USA",40.7308084,-73.7400835
Co-op for sale,2495000,3,2500,"530 East 86th St #7a, New York, NY 10028, USA",40.7751383,-73.9457867
Multi-family home for sale,19995000,7,8900,"32 E 22nd St, New York, NY 10010, USA",40.7397747,-73.9879891
Co-op for sale,595000,2,1075,"37-30 83rd St #3c, Flushing, NY 11372, USA",40.7487647,-73.8834851
Multi-family home for sale,850000,3,1696,"213 Liberty Ave, Staten Island, NY 10305, USA",40.5870716,-74.0944361
House for sale,849990,5,2184.207862,"114-34 Inwood St, Jamaica, NY 11436, USA",40.6841541,-73.7978894
Townhouse for sale,799000,3,1184,"13-04 126th St, Flushing, NY 11356, USA",40.7865794,-73.8422755
Co-op for sale,550000,1,2184.207862,"225 E 74th St #5m, New York, NY 10021, USA",40.7706605,-73.9580748
Multi-family home for sale,3200000,3,17000,"151 Daniel Low Terrace, Staten Island, NY 10301, USA",40.640823,-74.0800239
Co-op for sale,639000,3,1100,"51-42 30th Ave. #4c, Woodside, NY 11377, USA",40.7586944,-73.9049161
House for sale,849990,5,2184.207862,"114-34 Inwood St, Jamaica, NY 11436, USA",40.6841541,-73.7978894
House for sale,2199999,4,2848,"3569 Richmond Rd, Staten Island, NY 10306, USA",40.5727658,-74.1401218
Multi-family home for sale,950000,9,3316,"2108 Bathgate Ave, Bronx, NY 10457, USA",40.8512643,-73.8944397
Multi-family home for sale,850000,3,1696,"213 Liberty Ave, Staten Island, NY 10305, USA",40.5870716,-74.0944361
Co-op for sale,1099500,2,2184.207862,"129 Barrow St #2a, New York, NY 10014, USA",40.731826,-74.0091497
Co-op for sale,2495000,2,2184.207862,"45 5th Ave #2a, New York, NY 10003, USA",40.734217,-73.9946151
House for sale,1500000,3,2184.207862,"59-42 69th St, Flushing, NY 11378, USA",40.7220377,-73.8936918
Condo for sale,720000,2,970,"61-09 39th Ave m6, Woodside, NY 11377, USA",40.7472374,-73.9021112
Condo for sale,4780000,2,1882,"16 W 40th St #25b, New York, NY 10018, USA",40.752444,-73.982986
Condo for sale,760000,1,700,"404 E 66th St #4n, New York, NY 10065, USA",40.7636004,-73.9583523
Condo for sale,2350000,2,1628,"207 E 57th St #16b, New York, NY 10022, USA",40.7602847,-73.9668148
Co-op for sale,339999,1,825,"78-06 46th Ave #4b, Elmhurst, NY 11373, USA",40.7402133,-73.8868828
Co-op for sale,220000,1,900,"3000 Valentine Ave #5f, Bronx, NY 10458, USA",40.8724137,-73.8852231
Condo for sale,499000,1,750,"63-14 Queens Blvd #5c, Woodside, NY 11377, USA",40.7409264,-73.9020731
Co-op for sale,445000,3,550,"230 E 79th St #19c, New York, NY 10075, USA",40.7735465,-73.9561566
Co-op for sale,299000,1,700,"3220 91st St Apt 310, East Elmhurst, NY 11369, USA",40.7585599,-73.87738
Condo for sale,4075000,3,2150,"240 Riverside Blvd #19b, New York, NY 10023, USA",40.7804721,-73.9871434
Condo for sale,580000,2,950,"130-14 60th Ave #2c, Flushing, NY 11355, USA",40.7440024,-73.8353772
Co-op for sale,299900,1,2184.207862,"3017 Riverdale Ave #2j, Bronx, NY 10463, USA",40.880985,-73.9102329
Condo for sale,995000,2,1015,"2110 Frederick Douglass Blvd #8d, New York, NY 10026, USA",40.8030984,-73.9559736
Pending,825000,6,2444,"80 Kelvin Ave, Staten Island, NY 10306, USA",40.5546232,-74.1349952
Condo for sale,1525000,2,1329,"5-30 47th Ave #1b, Long Island City, NY 11101, USA",40.745483,-73.954465
Co-op for sale,222888,2,2184.207862,"144-60 Gravett Rd #3c, Flushing, NY 11367, USA",40.7352139,-73.8226982
Co-op for sale,1995000,3,1800,"418 E 59th St #31b, New York, NY 10022, USA",40.7590132,-73.9612618
Co-op for sale,217000,1,700,"12325 82nd Ave #5r, Kew Gardens, NY 11415, USA",40.7126884,-73.8282495
Condo for sale,468000,1,500,"65-38 Austin St #2b, Rego Park, NY 11374, USA",40.725653,-73.8596142
Multi-family home for sale,1739888,8,3375,"1938 Bay Ridge Ave, Brooklyn, NY 11204, USA",40.6148276,-73.9896373
House for sale,650000,5,1951,"687 E 232nd St, Bronx, NY 10466, USA",40.8931042,-73.8582396
House for sale,1690000,10,2958,"1809 Voorhies Ave, Brooklyn, NY 11235, USA",40.5862321,-73.9509299
Multi-family home for sale,2100000,3,7984,"248 New York Ave Apartment 8, Brooklyn, NY 11216, USA",40.671868,-73.947826
Co-op for sale,7450000,3,5500,"38 W 26th St Apt 12a, New York, NY 10010, USA",40.7439988,-73.9898542
Co-op for sale,295000,1,2184.207862,"97-40 62nd Dr, Rego Park, NY 11374, USA",40.7325379,-73.8601516
Co-op for sale,450000,1,1115,"11120 73rd Ave #6h, Forest Hills, NY 11375, USA",40.7193296,-73.8380044
Co-op for sale,995000,1,2184.207862,"230 Central Park W #3k, New York, NY 10024, USA",40.7836703,-73.9709274
House for sale,629000,3,1216,"132 Dalton Ave, Staten Island, NY 10306, USA",40.571871,-74.1276199
Co-op for sale,235000,1,660,"3125 Tibbett Ave #8c, Bronx, NY 10463, USA",40.881546,-73.908104
House for sale,485000,3,525,"242 E 25th St #3d, New York, NY 10010, USA",40.7392184,-73.9805521
Condo for sale,1588000,2,1108,"30 W 61st St #16d, New York, NY 10023, USA",40.7701201,-73.9833141
House for sale,2695000,2,1750,"12 W 18th St #4e, New York, NY 10011, USA",40.7388719,-73.9929549
Condo for sale,585000,2,988,"3625 Oxford Ave #2b, Bronx, NY 10463, USA",40.8870567,-73.908722
Multi-family home for sale,1598000,8,2184.207862,"59-20 Xenia St, Flushing, NY 11368, USA",40.7375448,-73.8549421
Condo for sale,848880,1,713,"11 E 36th St STE 404, New York, NY 10016, USA",40.7496366,-73.9825832
Co-op for sale,268000,1,750,"13839 Jewel Ave #3a, Flushing, NY 11367, USA",40.7295527,-73.8272075
Condo for sale,3700000,3,1756,"1280 5th Ave #17b, New York, NY 10029, USA",40.7961886,-73.949116
Condo for sale,1125000,1,743,"4 W 103rd St, New York, NY 10025, USA",40.7961762,-73.962094
Pending,329000,2,1200,"1750 E 14th St #6b, Brooklyn, NY 11229, USA",40.6068155,-73.9592184
House for sale,799000,3,2184.207862,"2521 Humphreys St, Flushing, NY 11369, USA",40.7645407,-73.8683353
House for sale,1380000,4,2520,"8903 Ridge Blvd, Brooklyn, NY 11209, USA",40.6217919,-74.0343844
Co-op for sale,990000,2,2184.207862,"325 E 41st St Apt 601, New York, NY 10017, USA",40.7490288,-73.9719957
Multi-family home for sale,2499000,18,2520,"116-10 14th Rd, Flushing, NY 11356, USA",40.7845143,-73.8508657
Condo for sale,2395000,4,2155,"42 St Marks Pl APT 1, Brooklyn, NY 11217, USA",40.6820512,-73.9811684
Co-op for sale,600000,2,2184.207862,"3333 Henry Hudson Pkwy #20, Bronx, NY 10463, USA",40.8855625,-73.9143965
Co-op for sale,745000,3,2184.207862,"2500 Johnson Ave #14h, Bronx, NY 10463, USA",40.876794,-73.9177034
Condo for sale,8525000,4,2863,"126 East 86th St #16a, New York, NY 10028, USA",40.7794854,-73.9561419
Multi-family home for sale,1229000,6,2816,"7550 Amboy Rd, Staten Island, NY 10307, USA",40.5086315,-74.2470232
Co-op for sale,799000,1,950,"201 E 28th St #7k, New York, NY 10016, USA",40.7419819,-73.980516
Contingent,625000,4,1650,"26 Roe St, Staten Island, NY 10310, USA",40.6333731,-74.122092
Townhouse for sale,1225000,4,1821,"1103 Bushwick Ave, Brooklyn, NY 11221, USA",40.6901415,-73.9187569
Co-op for sale,299000,1,2184.207862,"BA3, 63-89 Saunders St #6c, Flushing, NY 11374, USA",40.7291666,-73.8619839
Condo for sale,240000,1,800,"1100 Clove Rd #2c, Staten Island, NY 10301, USA",40.6189484,-74.1071576
Co-op for sale,165000,1,750,"5615 Netherland Ave #4e, Bronx, NY 10471, USA",40.904655,-73.9066105
Multi-family home for sale,1285000,4,2184.207862,"147-57 76th Rd, Flushing, NY 11367, USA",40.7234054,-73.8154612
Co-op for sale,765000,1,1000,"17 W 54th St #10f, New York, NY 10019, USA",40.7617971,-73.9766275
Condo for sale,309000,2,862,"1505 Archer Rd #2d, Bronx, NY 10462, USA",40.8385018,-73.86211
Multi-family home for sale,1250000,6,3496,"739 E 89th St, Brooklyn, NY 11236, USA",40.6405629,-73.9073462
Townhouse for sale,2099000,5,3200,"16 Dekoven Ct, Brooklyn, NY 11230, USA",40.6328573,-73.9632363
Co-op for sale,560000,1,2184.207862,"320 E 42nd St Apt 3012, New York, NY 10017, USA",40.7494678,-73.9717468
Condo for sale,3795000,3,1981,"200 E 62nd St #19a, New York, NY 10065, USA",40.7630942,-73.9649721
Multi-family home for sale,1229000,6,2816,"7550 Amboy Rd, Staten Island, NY 10307, USA",40.5086315,-74.2470232
Co-op for sale,269500,2,2184.207862,"2080 Barnes Ave #2090, Bronx, NY 10462, USA",40.8531021,-73.8636237
Condo for sale,8525000,4,2863,"126 East 86th St #16a, New York, NY 10028, USA",40.7794854,-73.9561419
Co-op for sale,3275000,3,2184.207862,"8 East 83rd St Tenants Corporation, 8 E 83rd St, New York, NY 10028, USA",40.779101,-73.961095
Co-op for sale,3795000,3,2184.207862,"31 E 72nd St #3b, New York, NY 10021, USA",40.7719215,-73.9650839
Co-op for sale,4150000,5,2184.207862,"170 W 76th St, New York, NY 10023, USA",40.7807845,-73.979261
Co-op for sale,285000,1,2184.207862,"120 Queens Blvd #98, Rego Park, NY 11374, USA",40.726843,-73.85458
House for sale,1249949,4,2720,"25 Sanford St, Staten Island, NY 10307, USA",40.5107574,-74.239192
Contingent,649999,5,2052,"80 Brewster St, Staten Island, NY 10304, USA",40.6317585,-74.0785358
Condo for sale,780000,3,2184.207862,"550 Vanderbilt Ave Apartment 511, Brooklyn, NY 11238, USA",40.6807067,-73.96822
Condo for sale,1075000,2,1144,"1222 Putnam Ave #4a, Brooklyn, NY 11221, USA",40.6912454,-73.9154184
Co-op for sale,345000,2,2184.207862,"6610 Thornton Pl #3c, Flushing, NY 11374, USA",40.7233159,-73.858254
Co-op for sale,4150000,5,2184.207862,"170 W 76th St, New York, NY 10023, USA",40.7807845,-73.979261
Condo for sale,1075000,2,1144,"1222 Putnam Ave #4a, Brooklyn, NY 11221, USA",40.6912454,-73.9154184
Co-op for sale,345000,2,2184.207862,"6610 Thornton Pl #3c, Flushing, NY 11374, USA",40.7233159,-73.858254
Co-op for sale,365000,2,2184.207862,"225-8 Hillside Ave., Queens Village, NY 11427, USA",40.7316971,-73.7409842
Condo for sale,750000,1,592,"250 Manhattan Ave #3r, Brooklyn, NY 11211, USA",40.7120018,-73.9453832
Condo for sale,1850000,2,1322,"40 Broad St Fl 3, New York, NY 10004, USA",40.7060214,-74.0117866
House for sale,1288000,3,1692,"7715 20th Ave, Brooklyn, NY 11214, USA",40.6091787,-73.993115
Condo for sale,5250000,3,2950,"60 E 55th St #3, New York, NY 10022, USA",40.760525,-73.972787
Multi-family home for sale,769000,4,2184.207862,"1038 East 100th Street, Brooklyn, NY 11236, USA",40.6426509,-73.8958975
Pending,925000,3,2184.207862,"61-19 75th Pl, Flushing, NY 11379, USA",40.7223571,-73.8834031
Co-op for sale,500000,1,2184.207862,"346 W 56th St #1a, New York, NY 10019, USA",40.7667403,-73.9855052
Pending,625000,1,2184.207862,"281 W 11th St #4a, New York, NY 10014, USA",40.7362044,-74.0047875
Multi-family home for sale,1375000,8,3039,"726 E 134th St, Bronx, NY 10454, USA",40.8019854,-73.9144974
Co-op for sale,270000,2,700,"21-05 33rd St #5f, Astoria, NY 11105, USA",40.7769221,-73.9073482
Multi-family home for sale,1273000,3,2184.207862,"34-53 60th St, Flushing, NY 11377, USA",40.7503477,-73.9019836
Co-op for sale,15000000,6,2184.207862,"895 Park Ave #7, New York, NY 10075, USA",40.7753111,-73.9603272
Contingent,499000,1,2184.207862,"120 E 36th St #10c, New York, NY 10016, USA",40.7477728,-73.9794793
Co-op for sale,3585000,3,2237,"344 W 72nd St #609, New York, NY 10023, USA",40.7803967,-73.9864464
House for sale,749999,9,2184.207862,"2414 Tiebout Ave, Bronx, NY 10458, USA",40.8595463,-73.8956582
House for sale,499000,3,1024,"140 Kiswick St, Staten Island, NY 10306, USA",40.5757598,-74.0943577
Condo for sale,595000,1,556,"68 Eldert St #4c, Brooklyn, NY 11207, USA",40.6869771,-73.9126141
Multi-family home for sale,5000000,3,1845,"215 Sullivan St #5e, New York, NY 10012, USA",40.7293399,-73.9998507
Townhouse for sale,1495000,6,2184.207862,"28-16 37th St, Long Island City, NY 11103, USA",40.7658641,-73.9158892
Condo for sale,2995000,2,1784,"721 5th Ave Suite 52D, New York, NY 10022, USA",40.762394,-73.9739039
Co-op for sale,469900,3,1200,"2711 Henry Hudson Pkwy #3c, Bronx, NY 10463, USA",40.8819273,-73.9172822
Co-op for sale,1995000,2,2184.207862,"8 E 83rd St # 8b, New York, NY 10028, USA",40.7793278,-73.9615999
Co-op for sale,159999,1,650,"1372 Shakespeare Ave #4c, Bronx, NY 10452, USA",40.8412247,-73.9216103
House for sale,758000,4,1216,"960 E 40th St, Brooklyn, NY 11210, USA",40.6318515,-73.9382094
House for sale,599999,2,1048,"2566 Eastchester Rd, Bronx, NY 10469, USA",40.8648218,-73.8430463
Co-op for sale,749000,1,2184.207862,"170 E 92nd St #4c, New York, NY 10128, USA",40.782693,-73.9517106
Multi-family home for sale,2100000,8,3750,"958 Madison St, Brooklyn, NY 11221, USA",40.6885485,-73.9192355
Co-op for sale,32000000,4,2184.207862,"944 5th Ave, New York, NY 10021, USA",40.7745478,-73.9651644
House for sale,620000,3,1280,"145-47 115th Ave, Jamaica, NY 11436, USA",40.6837376,-73.7967497
House for sale,849000,3,1890,"2021 Watson Ave, Bronx, NY 10472, USA",40.8292519,-73.855841
Co-op for sale,469900,3,1200,"2711 Henry Hudson Pkwy #3c, Bronx, NY 10463, USA",40.8819273,-73.9172822
Co-op for sale,1995000,2,2184.207862,"8 E 83rd St # 8b, New York, NY 10028, USA",40.7793278,-73.9615999
Co-op for sale,3250000,3,2610,"563 Park Ave #10e, New York, NY 10065, USA",40.7647756,-73.9679827
Co-op for sale,338000,2,2184.207862,"150-20 72nd Rd #6a, Flushing, NY 11367, USA",40.7272797,-73.8163427
Multi-family home for sale,3400000,3,2184.207862,"567 St Johns Pl, Brooklyn, NY 11238, USA",40.6729971,-73.9592414
Co-op for sale,1575000,2,1157,"165 West End Ave #7k, New York, NY 10023, USA",40.777244,-73.9868738
Co-op for sale,259000,1,570,"160 72nd St Apt 791, Brooklyn, NY 11209, USA",40.6343667,-74.0311335
House for sale,2300000,6,3850,"762 Greene Ave, Brooklyn, NY 11221, USA",40.6897465,-73.9379631
Co-op for sale,975000,2,2184.207862,"300 Riverside Dr #8h, New York, NY 10025, USA",40.7997797,-73.9713866
Multi-family home for sale,879000,4,2184.207862,"88-01 77th St, Jamaica, NY 11421, USA",40.6894907,-73.8640398
Co-op for sale,950000,2,775,"36 W 35th St, New York, NY 10001, USA",40.7497074,-73.9859244
Condo for sale,749999,3,1602,"1906 Bergen Ave #9a, Brooklyn, NY 11234, USA",40.625366,-73.908929
Co-op for sale,639000,3,1050,"3733 84th St Apt 31, Jackson Heights, NY 11372, USA",40.749516,-73.8822296
Condo for sale,2300000,3,1700,"330 E 38th St #12n, New York, NY 10016, USA",40.7462651,-73.972462
Co-op for sale,289000,1,2184.207862,"97-40 62nd Dr #11c, Rego Park, NY 11374, USA",40.7325379,-73.8601516
Multi-family home for sale,1698888,10,3025,"14963 Ash Ave, Flushing, NY 11355, USA",40.7602485,-73.8124754
Multi-family home for sale,1180000,4,1528,"6504 17th Ave, Brooklyn, NY 11204, USA",40.6204591,-73.9928625
Condo for sale,6750000,2,2320,"15 Hudson Yards #66, New York, NY 10001, USA",40.7537586,-74.003221
Townhouse for sale,499000,3,1890,"328 Taylor St, Staten Island, NY 10310, USA",40.630181,-74.1228208
Condo for sale,799000,1,2184.207862,"300 E 40th St Apt 30n, New York, NY 10016, USA",40.7484135,-73.9731998
Co-op for sale,600000,1,750,"210 W 103rd St #5f, New York, NY 10025, USA",40.7986646,-73.9678976
Multi-family home for sale,699000,4,2184.207862,"117-68 140th St, Jamaica, NY 11436, USA",40.6762104,-73.8013544
House for sale,1578000,5,2184.207862,"76-24 176th St, Flushing, NY 11366, USA",40.7262631,-73.7937601
House for sale,849000,4,2184.207862,"257-21 87th Ave, Queens, NY 11001, USA",40.7314866,-73.7083076
Condo for sale,4275000,2,2184.207862,"110 Central Park S #5a, New York, NY 10019, USA",40.765738,-73.9770652
Co-op for sale,1550000,1,2184.207862,"2 5th Ave #3f, New York, NY 10011, USA",40.7324629,-73.9972883
House for sale,489000,7,2500,"4429 Matilda Ave, Bronx, NY 10470, USA",40.9000223,-73.8557587
Townhouse for sale,499000,3,1890,"328 Taylor St, Staten Island, NY 10310, USA",40.630181,-74.1228208
Condo for sale,799000,1,2184.207862,"300 E 40th St Apt 30n, New York, NY 10016, USA",40.7484135,-73.9731998
Co-op for sale,600000,1,750,"210 W 103rd St #5f, New York, NY 10025, USA",40.7986646,-73.9678976
Co-op for sale,6700000,3,2184.207862,"300 Central Park W #16b, New York, NY 10024, USA",40.7882884,-73.9674607
Co-op for sale,319000,1,750,"2928 W 5th St #11d, Brooklyn, NY 11224, USA",40.5781785,-73.9733314
Townhouse for sale,10750000,10,6532,"49 W 16th St, New York, NY 10011, USA",40.7385972,-73.9951773
Co-op for sale,520000,1,730,"444 E 75th St #7h, New York, NY 10021, USA",40.7685551,-73.9522955
Co-op for sale,715000,1,2184.207862,"54 W 16th St #9g, New York, NY 10011, USA",40.7384289,-73.9956975
Co-op for sale,689000,1,1000,"415 E 52nd St #9a, New York, NY 10022, USA",40.7548672,-73.964448
Condo for sale,5750000,3,3700,"E Houston St, New York, NY 10002, USA",40.7231518,-73.9927218
Co-op for sale,885000,1,2184.207862,"225 E 57th St #11m, New York, NY 10022, USA",40.7600656,-73.9664566
House for sale,899000,4,1400,"51-13 103rd St #35, Flushing, NY 11368, USA",40.7421716,-73.8582741
Co-op for sale,1250000,2,2184.207862,"207 E 21st St #4c, New York, NY 10010, USA",40.7374872,-73.9833473
Condo for sale,580000,1,2184.207862,"109-9 15th Ave, College Point, NY 11356, USA",40.7841619,-73.8570221
Co-op for sale,1825000,3,1500,"315 West End Ave #2b, New York, NY 10023, USA",40.781741,-73.9834162
Pending,249000,1,700,"57-7 246th Crescent #2, Douglaston, NY 11362, USA",40.7576008,-73.7355418
House for sale,1175000,7,2184.207862,"7322 Avenue M, Brooklyn, NY 11234, USA",40.6260389,-73.9106991
Co-op for sale,232000,1,750,"3222 89th St # 106, East Elmhurst, NY 11369, USA",40.7583699,-73.87924
Condo for sale,1100000,2,988,"318 W 100th St #8b, New York, NY 10025, USA",40.7981209,-73.9726033
Multi-family home for sale,1695000,6,2184.207862,"21-08 21st Rd, Astoria, NY 11105, USA",40.7811121,-73.9154299
Co-op for sale,300000,2,2184.207862,"800 Grand Concourse #3r, Bronx, NY 10451, USA",40.8248699,-73.9229829
Condo for sale,4999000,2,1666,"111 Murray St #41b, New York, NY 10007, USA",40.715351,-74.0128441
Multi-family home for sale,1690000,7,4600,"56-11 Van Cleef St, Flushing, NY 11368, USA",40.7407623,-73.8521478
Multi-family home for sale,849999,4,2217,"846 E 46th St, Brooklyn, NY 11203, USA",40.6405612,-73.9333874
Condo for sale,1695000,3,1827,"475 Sterling Pl #1b, Brooklyn, NY 11238, USA",40.6745841,-73.9623868
Multi-family home for sale,3900000,4,2184.207862,"366 Clermont Ave, Brooklyn, NY 11238, USA",40.6869395,-73.9698033
Multi-family home for sale,669000,2,2675,"166 Jewett Ave, Staten Island, NY 10302, USA",40.6330311,-74.1301207
Multi-family home for sale,1900000,14,2184.207862,"1792 St Johns Pl, Brooklyn, NY 11233, USA",40.6696983,-73.9181397
Co-op for sale,350000,3,2184.207862,"319 E 50th St #8f, New York, NY 10022, USA",40.7546656,-73.9675207
Co-op for sale,875000,1,2184.207862,"77 Bleecker St Apt 505, New York, NY 10012, USA",40.7267155,-73.9958775
Co-op for sale,489000,3,2184.207862,"9 E 96th St #7c, New York, NY 10128, USA",40.7877526,-73.9547413
Condo for sale,2800000,3,1687,"543 W 122nd St #27a, New York, NY 10027, USA",40.8115505,-73.959759
Pending,949000,2,2184.207862,"440 Riverside Dr Apt 105, New York, NY 10027, USA",40.8089034,-73.965519
Land for sale,675000,3,2184.207862,"2932 Brighton 5th St, Brooklyn, NY 11235, USA",40.580329,-73.963661
Condo for sale,459000,1,548,"3031 Brighton 5th St #3c, Brooklyn, NY 11235, USA",40.5786264,-73.9626111
Co-op for sale,899000,2,2184.207862,"200 E 27th St Apt 8e, New York, NY 10016, USA",40.7412239,-73.9813712
Townhouse for sale,13650000,6,6800,"180 E 73rd St, New York, NY 10021, USA",40.7704277,-73.9609013
Co-op for sale,21000000,5,2184.207862,"730 Park Ave #9a, New York, NY 10021, USA",40.7704869,-73.9648893
Condo for sale,15900000,4,3698,"1 Central Park S #1901, New York, NY 10019, USA",40.7646573,-73.9744439
Condo for sale,4995000,3,1960,"100 Central Park S #3a, New York, NY 10019, USA",40.7655919,-73.9766034
Condo for sale,2250000,3,1710,"181 Hudson St #2a, New York, NY 10013, USA",40.7228727,-74.0083077
Condo for sale,989000,3,930,"282A Nassau Ave #3a, Brooklyn, NY 11222, USA",40.7259961,-73.9393987
Co-op for sale,309999,1,650,"30-31 Hobart St #3, Woodside, NY 11377, USA",40.7589055,-73.9064463
Condo for sale,4880000,3,2130,"400 5th Ave APT 57E, New York, NY 10018, USA",40.7500989,-73.9838104
Condo for sale,600000,1,830,"132- 35 Sanford Ave, Flushing, NY 11355, USA",40.7553537,-73.8319271
Condo for sale,5400000,3,2515,"300 E 55th St, New York, NY 10022, USA",40.7577445,-73.9660563
Co-op for sale,265000,1,2184.207862,"5700 Arlington Ave #21e, Bronx, NY 10471, USA",40.9069228,-73.9062512
Co-op for sale,240000,1,750,"102-17 64th Rd #4f, Forest Hills, NY 11375, USA",40.7314663,-73.8527035
Townhouse for sale,1790000,4,2736,"12-07 40th Ave, Long Island City, NY 11101, USA",40.7560084,-73.9423437
Co-op for sale,225000,1,622,"387 Ave. S #1f, Brooklyn, NY 11223, USA",40.6022749,-73.9711068
Multi-family home for sale,1299000,6,3733,"433 Clove Rd, Staten Island, NY 10310, USA",40.6298438,-74.1233871
Condo for sale,1625000,1,995,"393 West End Ave #8f, New York, NY 10024, USA",40.7842031,-73.9816026
Co-op for sale,420000,3,2184.207862,"225 E 36th St #2h, New York, NY 10016, USA",40.7466605,-73.9758035
Condo for sale,385000,2,910,"100 Colfax Ave APT 3H, Staten Island, NY 10306, USA",40.5795495,-74.1077209
Multi-family home for sale,2720000,8,2184.207862,"936 Seneca Ave, Flushing, NY 11385, USA",40.6999123,-73.9032008
House for sale,1396000,4,2444,"49 Weed Ave, Staten Island, NY 10306, USA",40.5664524,-74.1051158
Multi-family home for sale,1195000,3,2400,"5313 Avenue H, Brooklyn, NY 11234, USA",40.6332797,-73.9249485
Co-op for sale,620000,3,2184.207862,"80 Central Park W #4g, New York, NY 10023, USA",40.7740567,-73.9780672
Co-op for sale,300000,3,2184.207862,"205 E 77th St #11h, New York, NY 10075, USA",40.7728867,-73.9575288
Co-op for sale,539000,1,2184.207862,"420 E 55th St #6l, New York, NY 10022, USA",40.7562471,-73.9625705
Co-op for sale,599000,1,1025,"510 East 86th St, New York, NY 10028, USA",40.7754939,-73.9466592
Condo for sale,5200000,2,1394,"Regis Residence, 2 E 55th St #1118, New York, NY 10022, USA",40.761255,-73.9744834
Co-op for sale,650000,1,2184.207862,"140 Cabrini Blvd Apt 82, New York, NY 10033, USA",40.8532882,-73.939814
Co-op for sale,5600000,5,3200,"983 Park Ave #6c, New York, NY 10028, USA",40.7781265,-73.9579786
Pending,700000,1,500,"23 Waverly Pl, New York, NY 10003, USA",40.7304336,-73.9946441
Contingent,469000,3,1352,"28 Monsey Pl, Staten Island, NY 10303, USA",40.6241938,-74.1500827
Co-op for sale,1950000,2,2184.207862,"2 5th Ave # 1, New York, NY 10011, USA",40.7319226,-73.9968197
Co-op for sale,729888,2,1600,"166-25 Powells Cove Blvd #4c, Whitestone, NY 11357, USA",40.7944231,-73.796598
Multi-family home for sale,2225000,7,2184.207862,"158 Stockholm St, Brooklyn, NY 11237, USA",40.6992565,-73.9227784
Multi-family home for sale,890000,6,2184.207862,"2401 Walton Ave, Bronx, NY 10468, USA",40.8610016,-73.9014141
House for sale,949000,4,2172,"2430 E 71st St, Brooklyn, NY 11234, USA",40.6142439,-73.9015473
House for sale,650000,3,1500,"54 Farrell Ct, Staten Island, NY 10306, USA",40.5659163,-74.1274652
Townhouse for sale,16500000,5,5129,"132 E 62nd St, New York, NY 10065, USA",40.7641404,-73.9673899
House for sale,579999,3,1152,"18 Vanderbilt Ave, Staten Island, NY 10304, USA",40.6219834,-74.073006
Land for sale,1499000,3,2184.207862,"449 Mayfair Dr S #9, Brooklyn, NY 11234, USA",40.6074231,-73.9078973
Co-op for sale,535000,3,1350,"14205 Roosevelt Ave Apt 225, Flushing, NY 11354, USA",40.7607942,-73.8258766
Co-op for sale,1250000,2,1500,"125 E 63rd St #4b, New York, NY 10065, USA",40.7651694,-73.9667031
Multi-family home for sale,1388000,4,2520,"1801 Avenue L, Brooklyn, NY 11230, USA",40.620978,-73.957202
Co-op for sale,845000,1,2184.207862,"17 W 54th St #3c, New York, NY 10019, USA",40.7617971,-73.9766275
Condo for sale,550000,1,712,"6105 39th Ave Apt G3, Flushing, NY 11377, USA",40.7472923,-73.902194
Multi-family home for sale,2599000,3,4662,"102 Patchen Ave, Brooklyn, NY 11221, USA",40.6883929,-73.9273243
Co-op for sale,498000,2,2184.207862,"17-85 215th St #6k, Flushing, NY 11360, USA",40.7843012,-73.7761962
House for sale,840000,3,1675,"1459 Waring Ave, Bronx, NY 10469, USA",40.8611137,-73.8439969
Co-op for sale,1250000,2,1500,"125 E 63rd St #4b, New York, NY 10065, USA",40.7651694,-73.9667031
Co-op for sale,845000,1,2184.207862,"17 W 54th St #3c, New York, NY 10019, USA",40.7617971,-73.9766275
Multi-family home for sale,890000,6,2184.207862,"2401 Walton Ave, Bronx, NY 10468, USA",40.8610016,-73.9014141
House for sale,949000,4,2172,"2430 E 71st St, Brooklyn, NY 11234, USA",40.6142439,-73.9015473
Co-op for sale,2800000,2,2184.207862,"23 E 74th St #14f, New York, NY 10021, USA",40.7734427,-73.9647171
Co-op for sale,699000,1,2184.207862,"235 W 70th St #3e, New York, NY 10023, USA",40.7780341,-73.9838802
